"Features_subset","number_of_features","Adj_R_sqr","AIC"
"Mark ; Owner_Type ; SEATS ; Mil_sections",4,0.612677284349352,24067.6916691343
"Location ; Owner_Type ; SEATS ; Mil_sections",4,0.55356949237782,24784.6337655052
"Mark ; Location ; Owner_Type ; SEATS ; Mil_sections",5,0.651719462032833,23529.3599250833
"Fuel_Type ; Owner_Type ; SEATS ; Mil_sections",4,0.540616779585289,24924.241445178
"Mark ; Fuel_Type ; Owner_Type ; SEATS ; Mil_sections",5,0.625598337593408,23894.6029263218
"Location ; Fuel_Type ; Owner_Type ; SEATS ; Mil_sections",5,0.579258250759717,24480.8202427765
"Mark ; Location ; Fuel_Type ; Owner_Type ; SEATS ; Mil_sections",6,0.666884337932081,23301.6255031145
"Transmission ; Owner_Type ; SEATS ; Mil_sections",4,0.545056474902845,24873.1326676757
"Mark ; Transmission ; Owner_Type ; SEATS ; Mil_sections",5,0.625767629872741,23891.276731484
"Location ; Transmission ; Owner_Type ; SEATS ; Mil_sections",5,0.579210459970777,24480.4106979264
"Mark ; Location ; Transmission ; Owner_Type ; SEATS ; Mil_sections",6,0.662359051215595,23370.2603470156
"Fuel_Type ; Transmission ; Owner_Type ; SEATS ; Mil_sections",5,0.573170793364541,24545.974612329
"Mark ; Fuel_Type ; Transmission ; Owner_Type ; SEATS ; Mil_sections",6,0.642265043616729,23660.6252320165
"Location ; Fuel_Type ; Transmission ; Owner_Type ; SEATS ; Mil_sections",6,0.608925616841261,24104.5090213815
"Mark ; Location ; Fuel_Type ; Transmission ; Owner_Type ; SEATS ; Mil_sections",7,0.680676716050748,23084.4213766271
"YEAR ; Mil_sections",2,0.663677380961241,23327.2374200904
"Mark ; YEAR ; Mil_sections",3,0.777181692702992,21228.5991926363
"Location ; YEAR ; Mil_sections",3,0.682650611180852,23037.5504560597
"Mark ; Location ; YEAR ; Mil_sections",4,0.795022127241178,20807.8635377863
"Fuel_Type ; YEAR ; Mil_sections",3,0.699050541229016,22755.8040487968
"Mark ; Fuel_Type ; YEAR ; Mil_sections",4,0.796978394465931,20750.4704028375
"Location ; Fuel_Type ; YEAR ; Mil_sections",4,0.71307257828442,22519.5423473194
"Mark ; Location ; Fuel_Type ; YEAR ; Mil_sections",5,0.812128088670177,20360.1884158717
"Transmission ; YEAR ; Mil_sections",3,0.673879747303532,23169.2802618066
"Mark ; Transmission ; YEAR ; Mil_sections",4,0.779405767261262,21177.8254830497
"Location ; Transmission ; YEAR ; Mil_sections",4,0.692393356148769,22877.6469706603
"Mark ; Location ; Transmission ; YEAR ; Mil_sections",5,0.796921813127503,20760.8068513488
"Fuel_Type ; Transmission ; YEAR ; Mil_sections",4,0.716046785444447,22456.8331719824
"Mark ; Fuel_Type ; Transmission ; YEAR ; Mil_sections",5,0.801441926786467,20636.7490652198
"Location ; Fuel_Type ; Transmission ; YEAR ; Mil_sections",5,0.7288178459637,22229.3121212108
"Mark ; Location ; Fuel_Type ; Transmission ; YEAR ; Mil_sections",6,0.815891676030887,20256.7576478087
"Owner_Type ; YEAR ; Mil_sections",3,0.664033352788528,23322.7680951322
"Mark ; Owner_Type ; YEAR ; Mil_sections",4,0.777831368357436,21214.5220230592
"Location ; Owner_Type ; YEAR ; Mil_sections",4,0.68337988638793,23026.6721003078
"Mark ; Location ; Owner_Type ; YEAR ; Mil_sections",5,0.796216559226488,20778.6955561405
"Fuel_Type ; Owner_Type ; YEAR ; Mil_sections",4,0.699364972565951,22751.4047157582
"Mark ; Fuel_Type ; Owner_Type ; YEAR ; Mil_sections",5,0.797445905473357,20739.5639575372
"Location ; Fuel_Type ; Owner_Type ; YEAR ; Mil_sections",5,0.713759666478704,22508.1638604702
"Mark ; Location ; Fuel_Type ; Owner_Type ; YEAR ; Mil_sections",6,0.813125405587018,20333.7111642104
"Transmission ; Owner_Type ; YEAR ; Mil_sections",4,0.674287025434565,23163.8269612393
"Mark ; Transmission ; Owner_Type ; YEAR ; Mil_sections",5,0.780082311434276,21162.9655958566
"Location ; Transmission ; Owner_Type ; YEAR ; Mil_sections",5,0.693167289829989,22865.6410050561
"Mark ; Location ; Transmission ; Owner_Type ; YEAR ; Mil_sections",6,0.798124997485489,20731.1320362466
"Fuel_Type ; Transmission ; Owner_Type ; YEAR ; Mil_sections",5,0.716421380607073,22451.0159778745
"Mark ; Fuel_Type ; Transmission ; Owner_Type ; YEAR ; Mil_sections",6,0.801932381077997,20624.9770112272
"Location ; Fuel_Type ; Transmission ; Owner_Type ; YEAR ; Mil_sections",6,0.729558335410871,22216.1954462064
"Mark ; Location ; Fuel_Type ; Transmission ; Owner_Type ; YEAR ; Mil_sections",7,0.816890606318953,20229.6717635165
"SEATS ; YEAR ; Mil_sections",3,0.678114889465451,23106.8035292657
"Mark ; SEATS ; YEAR ; Mil_sections",4,0.788172368676899,20973.5233822701
"Location ; SEATS ; YEAR ; Mil_sections",4,0.695667737001652,22827.3882945017
"Mark ; Location ; SEATS ; YEAR ; Mil_sections",5,0.805146434468222,20552.4150656577
"Fuel_Type ; SEATS ; YEAR ; Mil_sections",4,0.703596474122291,22683.230919472
"Mark ; Fuel_Type ; SEATS ; YEAR ; Mil_sections",5,0.804053735201909,20573.3693500163
"Location ; Fuel_Type ; SEATS ; YEAR ; Mil_sections",5,0.717302196754419,22448.8653244255
"Mark ; Location ; Fuel_Type ; SEATS ; YEAR ; Mil_sections",6,0.818734429347691,20181.3970688311
"Transmission ; SEATS ; YEAR ; Mil_sections",4,0.695496633234106,22821.3526884408
"Mark ; Transmission ; SEATS ; YEAR ; Mil_sections",5,0.791287979157866,20898.0539522402
"Location ; Transmission ; SEATS ; YEAR ; Mil_sections",5,0.712207966192859,22540.0292705679
"Mark ; Location ; Transmission ; SEATS ; YEAR ; Mil_sections",6,0.807883350185549,20480.410557121
"Fuel_Type ; Transmission ; SEATS ; YEAR ; Mil_sections",5,0.724468006089266,22307.4513147681
"Mark ; Fuel_Type ; Transmission ; SEATS ; YEAR ; Mil_sections",6,0.809001789867432,20442.3834322156
"Location ; Fuel_Type ; Transmission ; SEATS ; YEAR ; Mil_sections",6,0.736859279663991,22079.9387617929
"Mark ; Location ; Fuel_Type ; Transmission ; SEATS ; YEAR ; Mil_sections",7,0.822991959813463,20059.7403255855
"Owner_Type ; SEATS ; YEAR ; Mil_sections",4,0.678508184853516,23101.4887851929
"Mark ; Owner_Type ; SEATS ; YEAR ; Mil_sections",5,0.788852732638927,20957.9121633419
"Location ; Owner_Type ; SEATS ; YEAR ; Mil_sections",5,0.696405332395485,22815.8589644214
"Mark ; Location ; Owner_Type ; SEATS ; YEAR ; Mil_sections",6,0.806345601684146,20521.5480366327
"Fuel_Type ; Owner_Type ; SEATS ; YEAR ; Mil_sections",5,0.703957198320437,22677.9408211857
"Mark ; Fuel_Type ; Owner_Type ; SEATS ; YEAR ; Mil_sections",6,0.804572995518979,20560.6654626723
"Location ; Fuel_Type ; Owner_Type ; SEATS ; YEAR ; Mil_sections",6,0.718019722383687,22436.7433889864
"Mark ; Location ; Fuel_Type ; Owner_Type ; SEATS ; YEAR ; Mil_sections",7,0.819767297806789,20152.8971574916
"Transmission ; Owner_Type ; SEATS ; YEAR ; Mil_sections",5,0.695950707015215,22814.6460430908
"Mark ; Transmission ; Owner_Type ; SEATS ; YEAR ; Mil_sections",6,0.791995197727217,20881.5281869707
"Location ; Transmission ; Owner_Type ; SEATS ; YEAR ; Mil_sections",6,0.712987850952145,22527.0189527044
"Mark ; Location ; Transmission ; Owner_Type ; SEATS ; YEAR ; Mil_sections",7,0.809086817643744,20448.9718873341
"Fuel_Type ; Transmission ; Owner_Type ; SEATS ; YEAR ; Mil_sections",6,0.724891155040319,22300.5140095065
"Mark ; Fuel_Type ; Transmission ; Owner_Type ; SEATS ; YEAR ; Mil_sections",7,0.80954261365881,20428.739969454
"Location ; Fuel_Type ; Transmission ; Owner_Type ; SEATS ; YEAR ; Mil_sections",7,0.737622141930798,22065.9491573104
"Mark ; Location ; Fuel_Type ; Transmission ; Owner_Type ; SEATS ; YEAR ; Mil_sections",8,0.824022233465571,20030.6049953323
